class,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5
1,0.52971117,0.655518981,0.888841298,0.80934108,0.633205777
1,0.36337278,0.789363353,0.90449229,0.632850126,0.683767361
2,0.429303548,0.885666088,0.968044887,0.630164219,0.620705479
2,0.799604226,0.379099691,0.222465807,0.202505928,0.485541962
2,0.719094844,0.409305007,0.230328297,0.266614645,0.346622206
2,0.774936714,0.349922759,0.106258857,0.222361311,0.197329075
2,0.725500259,0.406143409,0.107861334,0.294630731,0.35209636
2,0.949471314,0.617405981,0.04537716,0.337665352,0.46635167
2,0.822561632,0.454955533,0.084845537,0.372825598,0.362978185
2,0.850698882,0.369800824,0.122045436,0.146309276,0.292102582
2,0.701016379,0.539415238,0.057215443,0.201429783,0.389304863
2,0.807169096,0.36587155,0.087194291,0.14919877,0.34433384
2,0.742564655,0.497108905,0.242822706,0.324242082,0.442037987
2,0.760724923,0.465947265,0.123452817,0.163153642,0.509991305
2,0.784418049,0.550822403,0.081255852,0.110928025,0.517233535
2,0.936999511,0.52261837,0.143676696,0.229245876,0.309747145
2,0.901295147,0.590282836,0.060411373,0.130614226,0.307893594
2,0.913012633,0.376520766,0.158146506,0.153539173,0.515394771
2,0.900678769,0.606917585,0.044003661,0.177314145,0.43287548
2,0.73367454,0.375575755,0.0391586,0.374003588,0.388141398
2,0.737582588,0.649405262,0.070976195,0.378580733,0.304644129
2,0.810687658,0.425729414,0.19590203,0.197729777,0.511182548
2,0.907077468,0.373167537,0.184736975,0.127878828,0.209479017
2,0.70224019,0.399247153,0.180304964,0.129112985,0.277126217
2,0.728563982,0.535154497,0.133384457,0.197716141,0.231259802
2,0.741633931,0.518615748,0.08983398,0.389623655,0.366522254
2,0.87147285,0.424179448,0.272728782,0.282071717,0.348793283
2,0.777993153,0.553290222,0.148363874,0.219328764,0.35831284
2,0.714129755,0.404796808,0.200307663,0.234491084,0.507356984
2,0.923322867,0.448942034,0.085766092,0.279720772,0.339966879
2,0.844174842,0.521925869,0.138682829,0.296932084,0.29817402
2,0.749291982,0.548197517,0.098540963,0.254170166,0.497184185
2,0.768593727,0.434995299,0.176882732,0.383663995,0.396293609
2,0.944307557,0.409052983,0.164149615,0.143354939,0.282089737
2,0.964350418,0.476720344,0.153316139,0.273789498,0.314374068
2,0.825602547,0.533691014,0.153078071,0.126884187,0.394832435
2,0.788351123,0.389251457,0.165493063,0.309116593,0.217655856
2,0.92484876,0.652648701,0.158736941,0.280803843,0.452851534
2,0.830279999,0.511484773,0.145878365,0.375332033,0.348858769
2,0.92290267,0.650331948,0.09378548,0.213262098,0.481723906
2,0.730618743,0.385245202,0.251773827,0.267143185,0.357287735
2,0.867153588,0.568426602,0.110413411,0.375602164,0.262446236
2,0.854284576,0.46037209,0.203092436,0.197605166,0.327807695
2,0.763147644,0.596323291,0.23505599,0.220160004,0.461083229
2,0.880029081,0.665379532,0.23071072,0.114247895,0.463013081
2,0.902958465,0.633044229,0.26651613,0.139217682,0.314457752
2,0.873328028,0.541364329,0.100282495,0.2414392,0.281531926
2,0.792755756,0.53157259,0.196153015,0.18719397,0.203100967
2,0.292409855,0.165074084,0.382306922,0.272808208,0.431297377
2,0.294097546,0.33231716,0.330111024,0.265831169,0.311324063
2,0.044226159,0.002441715,0.083950906,0.115779097,0.154763328
3,0.350049222,0.470380298,0.486888503,0.325631482,0.420188784
3,0.309057032,0.403969337,0.207463138,0.172760428,0.257523902
3,0.435562203,0.41422134,0.444518659,0.314463144,0.372893291
3,0.061414153,0.044515481,0.065090214,0.063869944,0.073644532
3,0.955432112,0.961455112,0.831156842,0.992751553,0.97382693
3,0.946209457,0.959795261,0.872025669,0.819538666,0.936278258
3,0.709000037,0.74048893,0.692910616,0.56685874,0.659515456
3,0.385064781,0.255489765,0.386152284,0.479149441,0.328929454
3,0.989201743,0.870459251,0.885742152,0.842783522,0.924290554
3,0.339553268,0.415104869,0.280290805,0.442470168,0.273470937
3,0.501267613,0.437004799,0.588245854,0.511284169,0.50812738
3,0.527953076,0.446182777,0.644354176,0.425347034,0.60529947
3,0.224145342,0.350009346,0.077856206,0.147173843,0.183916093
3,0.41410364,0.482567088,0.524486331,0.376085924,0.287076474
3,0.012075105,0.018678692,0.110270007,0.026582999,0.053125819
3,0.861982909,0.853665592,0.805962583,0.738271415,0.881491934
3,0.392313077,0.409647659,0.419628184,0.458598158,0.504272669
3,0.52633304,0.484971934,0.449657598,0.470652173,0.501898833
3,0.449600845,0.552960351,0.329328998,0.311637133,0.34462223
3,0.87412403,0.755023296,0.993454639,0.732716554,0.743439053
3,0.383490146,0.42243175,0.310538077,0.49441059,0.366019289
3,0.118329853,0.189752905,0.229924306,0.265234866,0.193356284
3,0.888499025,0.85813911,0.871423546,0.774758716,0.863102587
3,0.724403022,0.82064203,0.622369107,0.655182754,0.818448358
3,0.330918986,0.237760105,0.382506723,0.28691558,0.380588614
3,0.107110638,0.095504305,0.088692225,0.024314534,0.069912987
3,0.195495508,0.341210367,0.278276059,0.313258124,0.158417562
3,0.323766464,0.327418877,0.230564737,0.277509396,0.187274891
3,0.336451623,0.36149913,0.347046026,0.397555864,0.350711669
3,0.81264019,0.944241884,0.723358667,0.798975615,0.754541887
3,0.361638503,0.433931311,0.333852049,0.486406438,0.419349691
3,0.757726787,0.879096889,0.764255696,0.701354351,0.781525539
3,0.184810798,0.327717947,0.096391609,0.238432668,0.260412135
3,0.125697107,0.199021391,0.082072294,0.220552927,0.104330186
3,0.154173584,0.140465305,0.060012939,0.051136032,0.204130945
3,0.217082733,0.308417188,0.325146061,0.134261975,0.107121787
3,0.069401384,0.048614283,0.102096617,0.126438517,0.065588307
3,0.276400772,0.355904384,0.26654346,0.349531201,0.149444894
3,0.855986245,0.855729092,0.911838145,0.750729123,0.929676026
3,0.602775407,0.7236049,0.476064818,0.637651267,0.472930863
3,0.808012244,0.79440746,0.922470966,0.867409381,0.815834994
3,0.235794001,0.380673336,0.359426106,0.290044006,0.25157055
3,0.275438101,0.238292063,0.159340394,0.284208851,0.368653448
3,0.985930341,0.88687056,0.900002497,0.844376645,0.876304103
3,0.217289397,0.204766457,0.228737754,0.10557044,0.078843223
3,0.417342412,0.441792725,0.330739637,0.480744468,0.410596281
3,0.118370787,0.035381546,0.175939476,0.133279314,0.249020321
3,0.706987381,0.789499791,0.623050756,0.599492686,0.836108747
3,0.262339316,0.297086462,0.201002783,0.117330388,0.28520783
4,0.290993261,0.156262875,0.415976726,0.394432454,0.41092743
4,0.392621391,0.350015585,0.456265549,0.301891133,0.323495254
4,0.117713316,0.146063036,0.035764953,0.088611941,0.035693546
4,0.710984883,0.855621091,0.644100658,0.710847748,0.673294985
4,0.24491438,0.116936349,0.341395324,0.248555763,0.139654669
4,0.918187984,0.801236575,0.963720825,0.907522992,0.947844197
4,0.332691948,0.224296934,0.243910591,0.472038699,0.37269747
4,0.200011932,0.266870051,0.080591227,0.334335254,0.069135109
4,0.101648172,0.079395474,0.12603461,0.171525629,0.220355935
4,0.852632318,0.856466721,0.983749061,0.989394957,0.728026952
4,0.819342749,0.751780076,0.834299922,0.747356273,0.739801613
4,0.40569172,0.333144442,0.49358641,0.283186124,0.389985736
4,0.960449649,0.956164858,0.941578585,0.89227169,0.879656974
4,0.597518684,0.4622615,0.655102658,0.616153291,0.486757066
4,0.890732789,0.851117282,0.920271105,0.88349681,0.845532143
4,0.955154578,0.928650302,0.952899208,0.843509402,0.958287324
4,0.457268447,0.435349806,0.562120049,0.509744501,0.462044217
4,0.907115123,0.830670669,0.924825965,0.911051519,0.848385856
4,0.028182972,0.050671696,0.004548802,0.065148328,0.034722136
4,0.57306562,0.626451124,0.618988837,0.720143438,0.553786118
4,0.093664639,0.226473124,0.015832937,0.124198727,0.139635898
4,0.176821078,0.248032157,0.316911702,0.202862142,0.144103218
4,0.018405393,0.142322757,0.134317081,0.03597434,0.079088675
4,0.44633434,0.565007269,0.354502007,0.48497107,0.460476523
4,0.715379133,0.778002889,0.782991455,0.785224057,0.851401088
4,0.794636454,0.776422703,0.925455121,0.835727157,0.83158553
4,0.541488067,0.399058478,0.631142391,0.650197112,0.674030828
4,0.805905198,0.952298801,0.769362427,0.798915905,0.71959073
4,0.147400317,0.285520579,0.08515769,0.02319064,0.123194719
4,0.165918769,0.080056651,0.196128434,0.198223513,0.095642267
4,0.107564469,0.211363973,0.120075497,0.118290755,0.123683787
4,0.679500088,0.696299422,0.794854783,0.576777967,0.700036056
4,0.131120149,0.052941667,0.078487582,0.075819682,0.0315218
4,0.929943537,0.932803938,0.963569408,0.826446793,0.836652864
4,0.024364855,0.019234965,0.074388652,0.098476069,0.028374641
4,0.090617466,0.073570363,0.240590022,0.147554964,0.195163664
4,0.014581588,0.149192969,0.020575808,0.008448084,0.043582127
4,0.144697636,0.034429513,0.068321299,0.197376727,0.106274235
4,0.299361732,0.228906629,0.22179406,0.371884235,0.172822279
4,0.771134026,0.752461042,0.918368823,0.671923084,0.653745188
4,0.267991962,0.168950427,0.376081204,0.403385153,0.152449347
4,0.731560203,0.807381434,0.653699556,0.739494882,0.84776292
4,0.396360853,0.276211564,0.384060149,0.37272429,0.508262358
4,0.822713805,0.837562235,0.8573021,0.747138724,0.812670337
4,0.469753278,0.355343346,0.387741151,0.544321618,0.321723212
4,0.354529349,0.451895667,0.251061493,0.397964527,0.323402338
4,0.495802917,0.37273559,0.424247527,0.479597148,0.542945972
4,0.842288408,0.914113808,0.850929584,0.967894922,0.925139295
4,0.499457622,0.609156679,0.391556779,0.415810918,0.502412707
5,0.232991641,0.300770541,0.312269012,0.301682355,0.100350706
5,0.985179947,0.956974408,0.875316506,0.899528172,0.972019601
5,0.484831929,0.536555898,0.42560025,0.61995936,0.386716006
5,0.586776012,0.710971523,0.682865329,0.726909246,0.568842992
5,0.472204016,0.681385454,0.785645023,0.281080142,0.391976466
5,0.370297954,0.312808224,0.396763494,0.875845055,0.849334998
5,0.596106734,0.46083727,0.436283411,0.758036953,0.177617729
5,0.576846269,0.636433951,0.690634669,0.574238599,0.000725048
5,0.325154039,0.902965701,0.057606307,0.925511005,0.301480256
5,0.882846971,0.214594452,0.6322208,0.364569401,0.23160002
5,0.040845441,0.806306433,0.737637218,0.195093305,0.489067189
5,0.547567531,0.865838536,0.040417714,0.934564021,0.545423678
5,0.720756346,0.202346878,0.165363864,0.879965898,0.093230708
5,0.525280002,0.805760169,0.027381576,0.359019348,0.39512184
5,0.226446198,0.230166669,0.054672606,0.696407619,0.532888558
5,0.547385707,0.747352451,0.322379992,0.003008476,0.553225264
5,0.440745275,0.085148481,0.006039666,0.225209496,0.31103247
5,0.649234496,0.926599568,0.640398611,0.707414506,0.647318328
5,0.255072254,0.694153986,0.704023632,0.068589697,0.567865039
5,0.647525522,0.622661891,0.394377872,0.072378863,0.949251833
5,0.946052502,0.49302285,0.947363555,0.370129326,0.486499884
5,0.313812456,0.361929883,0.087625397,0.327558172,0.538314199
5,0.551922649,0.972848209,0.807399956,0.630472492,0.334841398
5,0.255471298,0.920719999,0.380534982,0.594599852,0.591632417
5,0.895078017,0.344325481,0.877594991,0.41532121,0.352917888
5,0.544929689,0.992451785,0.01834815,0.694358622,0.206645907
5,0.032952777,0.155756873,0.691380456,0.37306175,0.054011212
5,0.739690401,0.182336942,0.095659321,0.558490004,0.753803651
5,0.829953226,0.958905766,0.811139576,0.342722586,0.547379742
5,0.980685255,0.476513032,0.397728908,0.031188501,0.698795654
5,0.682282791,0.795231017,0.302211542,0.196099366,0.777869549
5,0.940997488,0.820089194,0.621229976,0.69605708,0.173094631
5,0.164747745,0.706929794,0.253594144,0.17929731,0.506474367
5,0.313556588,0.827537976,0.989784896,0.833478687,0.830793737
5,0.155388091,0.038909847,0.739642808,0.065037208,0.932835491
5,0.277005143,0.615490663,0.182107563,0.502567911,0.097710695
5,0.134236945,0.065704701,0.801507711,0.21106576,0.716990149
5,0.934123075,0.472021812,0.257451634,0.750003096,0.719110397
5,0.652379857,0.671505328,0.520098512,0.44210355,0.719512975
5,0.052957103,0.298701941,0.780357543,0.992537434,0.970641346
5,0.083100238,0.537870141,0.506572856,0.414215253,0.619739468
5,0.527626969,0.672871787,0.359480437,0.501704626,0.544358533
5,0.066009347,0.348261679,0.519612169,0.707674791,0.921382649
5,0.262833944,0.910758175,0.503386398,0.983582446,0.623074996
5,0.998340186,0.584192588,0.003277232,0.630048657,0.609544544
5,0.746124659,0.906220204,0.730939614,0.472833293,0.327009865
5,0.963309559,0.302403653,0.645553126,0.128362392,0.58911837
5,0.027073485,0.806827708,0.391396007,0.355693453,0.813964598
5,0.454188242,0.021538729,0.937451198,0.171391816,0.584665813
