class,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8
1,0.079700226,0.62455401,0.554330215,0.661737428,0.593558232,0.25167258,0.167545067,0.401481037
1,0.195208103,0.46346715,0.577839031,0.514479185,0.577265158,0.433280773,0.160615919,0.336447806
1,0.102918494,0.429052268,0.612029145,0.713450111,0.570006344,0.429141505,0.184455654,0.231671176
1,0.252269124,0.469810033,0.581223484,0.5606092,0.521078674,0.310060884,0.225953077,0.285020225
1,0.09639797,0.43424169,0.463522309,0.598101608,0.661707681,0.43415598,0.045546175,0.20373171
1,0.260602573,0.532774893,0.399957213,0.628488899,0.474343814,0.247084199,0.059840229,0.300231023
1,0.144479309,0.398596987,0.63972693,0.646515393,0.638797692,0.38365852,0.089257998,0.351814379
1,0.214967646,0.566045657,0.584878849,0.691320029,0.655612851,0.399347819,0.049350081,0.239305837
1,0.10295861,0.407105377,0.421813613,0.735524323,0.542917517,0.338671008,0.066147735,0.350333936
1,0.090853558,0.515941766,0.631599408,0.533895533,0.658781317,0.431865897,0.241462861,0.213057508
1,0.055143809,0.45189669,0.526959059,0.555779746,0.603689879,0.275778865,0.081978119,0.402449477
1,0.248678753,0.538743989,0.58531689,0.541141417,0.49473313,0.393062943,0.043831855,0.290722806
1,0.252192491,0.605817147,0.641764841,0.725986458,0.461230418,0.2786878,0.097928104,0.365896845
1,0.111107722,0.46982599,0.550183953,0.72763763,0.540912599,0.467843364,0.20040779,0.211150871
1,0.125008872,0.597183672,0.635142596,0.723683551,0.609427553,0.414544299,0.153558756,0.432990237
1,0.252568075,0.446467158,0.628145002,0.687774353,0.512864616,0.225859884,0.163858024,0.380633591
1,0.09296567,0.564386496,0.521682253,0.637056555,0.465082414,0.281122776,0.112926174,0.372532644
1,0.207169749,0.505349442,0.549456471,0.677404976,0.497031636,0.395570845,0.214299002,0.370157235
1,0.080638823,0.500238864,0.433364187,0.619684875,0.491029359,0.429440562,0.070598159,0.432525451
1,0.177327586,0.527875187,0.445011122,0.590385545,0.545592013,0.363459422,0.158909168,0.459390482
1,0.177253729,0.60185722,0.416674545,0.54535846,0.538595187,0.355464071,0.167457576,0.206646639
1,0.118048239,0.521033112,0.474287348,0.687640985,0.520286802,0.392609373,0.11288059,0.209474089
1,0.584166273,0.209922842,0.899256271,0.911603313,0.935306403,0.814517613,0.618416741,0.879877754
1,0.529559494,0.12540316,0.934067437,0.922206602,0.810559125,0.98472667,0.599444865,0.826310954
1,0.63600609,0.051724933,0.801592872,0.914230201,0.964543982,0.875067926,0.512862009,0.867989147
1,0.523041908,0.231969452,0.92816706,0.889105959,0.981196276,0.940436354,0.532508875,0.977789472
1,0.493689992,0.099769782,0.979716778,0.895917199,0.8790134,0.967464244,0.622035081,0.836130515
1,0.636819631,0.100945146,0.848131947,0.865232474,0.906460226,0.85753981,0.559746409,0.974626431
1,0.58710067,0.128728177,0.950627258,0.871640158,0.82649803,0.881638092,0.632883788,0.897287682
1,0.513646808,0.050823376,0.870997001,0.884244744,0.891618252,0.975165882,0.527990043,0.914418561
1,0.541336676,0.245786874,0.786925933,0.860332088,0.971329258,0.843691506,0.491290765,0.80872105
1,0.631068405,0.115408801,0.789118994,0.809028274,0.928743166,0.843947103,0.47128577,0.916840556
1,0.547970755,0.183675151,0.929846973,0.917975237,0.809847754,0.863506401,0.639307135,0.804312152
1,0.482943641,0.253122891,0.909158437,0.85646374,0.80010261,0.940433312,0.609253755,0.976198105
1,0.57342228,0.227153441,0.806719958,0.788619292,0.852336048,0.80105915,0.607455054,0.840962937
1,0.621229188,0.172602194,0.868367501,0.776187787,0.893074768,0.876783335,0.486926501,0.8846806
1,0.53326049,0.217672849,0.872269831,0.912766502,0.854581738,0.927059805,0.629086985,0.800476881
1,0.583938323,0.134500402,0.826222063,0.803396751,0.918408854,0.851794158,0.571829054,0.901705159
1,0.549499073,0.06147243,0.923621221,0.836433501,0.906597664,0.83765264,0.616021461,0.851173891
1,0.636491394,0.179489521,0.865209398,0.975016656,0.800933715,0.859651621,0.487338956,0.81988166
1,0.556856354,0.223114367,0.933697809,0.83720557,0.912409541,0.808699492,0.50582606,0.860391999
1,0.507928306,0.180437306,0.846019137,0.812102389,0.865378706,0.83511677,0.540996672,0.956588003
1,0.479873843,0.076475106,0.931079811,0.968857597,0.802608423,0.819473274,0.500766629,0.959239008
1,0.486658274,0.234384463,0.836404145,0.932579077,0.950910893,0.843615497,0.542049191,0.948583428
1,0.633441034,0.274332272,0.910922858,0.796984457,0.833508309,0.913305006,0.448550503,0.953607862
1,0.589425395,0.046745699,0.787573682,0.796559984,0.881960703,0.823824581,0.586458612,0.972529248
1,0.563011427,0.266226871,0.869227643,0.870752791,0.952029219,0.811087347,0.451663882,0.873508278
1,0.58545893,0.181495106,0.833777462,0.840581346,0.831018884,0.938728044,0.588687287,0.814456661
1,0.493848548,0.090589722,0.80801263,0.94623035,0.866528768,0.960160887,0.494051659,0.895386645
1,0.609326503,0.062685014,0.955829238,0.97764946,0.843382748,0.962893083,0.528194937,0.98160032
1,0.653455924,0.234270151,0.790564352,0.871721728,0.978385046,0.952565278,0.470755761,0.909702426
1,0.570008948,0.106619507,0.910895495,0.805513546,0.818643973,0.959501798,0.560181423,0.822979927
1,0.510420861,0.164762986,0.833209346,0.843232069,0.915876598,0.866560037,0.517704227,0.96531806
1,0.5952914,0.141107364,0.868056993,0.876931455,0.813074998,0.855907883,0.469120434,0.931462239
1,0.588752915,0.062377483,0.956062977,0.872578255,0.810399192,0.946703447,0.612192839,0.957951504
1,0.642971525,0.240619186,0.838267748,0.871620028,0.895630935,0.973860722,0.54644996,0.887843351
1,0.626545229,0.090419221,0.958973644,0.960362847,0.95051274,0.903629332,0.621635341,0.884632966
1,0.603480109,0.262933418,0.907321788,0.79225386,0.823835988,0.866632503,0.46275952,0.807954229
1,0.615955848,0.217954463,0.905489298,0.969797854,0.818918043,0.816638293,0.50500373,0.813601612
1,0.511699226,0.237964721,0.913370831,0.841371996,0.970590555,0.945541337,0.479542228,0.84410996
1,0.568048578,0.250831917,0.903322393,0.898858604,0.82937153,0.866134826,0.61819087,0.881583675
1,0.555730145,0.18567889,0.912702953,0.860627475,0.893047745,0.838344606,0.528550335,0.85100467
1,0.498081504,0.097270465,0.88410815,0.833198212,0.851047036,0.885682851,0.568730603,0.824086396
1,0.48132309,0.245959051,0.956048733,0.827424297,0.879161335,0.873607807,0.484393373,0.908979765
1,0.536870727,0.122966326,0.800053188,0.781523321,0.939903021,0.849533341,0.44574948,0.875671488
1,0.566587062,0.21141144,0.874550744,0.783727791,0.848017716,0.929019908,0.523269012,0.953618554
1,0.531179095,0.230679218,0.978477012,0.78626449,0.89037544,0.815928774,0.479711214,0.80782195
1,0.620429965,0.173214947,0.86858899,0.778076747,0.897803763,0.97292446,0.48989693,0.96559794
1,0.628538147,0.168505408,0.918719092,0.824197713,0.928878283,0.91177794,0.506654171,0.951183203
1,0.508176801,0.227225325,0.96795139,0.965060344,0.892070457,0.869692419,0.552493026,0.957314554
1,0.837611316,0.912907374,0.086246238,0.235747219,0.196295587,0.49048289,0.975712919,0.5648874
1,0.778749204,0.757898372,0.235899828,0.211199382,0.098004567,0.513122471,0.812995456,0.45216988
1,0.817093669,0.92195089,0.096729748,0.132084931,0.235997066,0.502044962,0.927046354,0.588433005
1,0.77329676,0.812548264,0.070018309,0.139021262,0.068274062,0.473117372,0.913738903,0.530063271
1,0.732700865,0.84488542,0.051085005,0.042623922,0.227914552,0.461372999,0.775650193,0.46877502
1,0.825004815,0.838509194,0.052350167,0.061400111,0.082906057,0.461906373,0.816525558,0.520707052
1,0.868738179,0.893437002,0.045530056,0.105260799,0.186290815,0.517484972,0.931452173,0.592741571
1,0.73462042,0.967081122,0.210079684,0.140747333,0.146146146,0.565498662,0.97502509,0.531943127
1,0.873730431,0.78222294,0.08021157,0.135036262,0.130500466,0.453338578,0.960870192,0.536614268
1,0.882739143,0.942650419,0.056154167,0.254009203,0.200232296,0.392343388,0.780866752,0.471524116
1,0.807565894,0.865123772,0.233956249,0.161060371,0.208220732,0.510529954,0.936599552,0.594462992
1,0.795062487,0.825428272,0.212781558,0.049497921,0.078328935,0.455641034,0.7977561,0.44457599
1,0.875470515,0.893232947,0.164537953,0.13527602,0.129800024,0.439299454,0.948659757,0.46472159
1,0.706965749,0.931125813,0.058143999,0.11068159,0.165351239,0.56843656,0.854508935,0.562059661
1,0.797783741,0.950015648,0.193444326,0.163489019,0.083954524,0.399302261,0.948910565,0.529102673
1,0.81506171,0.864274726,0.058115658,0.095621079,0.112358806,0.558146817,0.860288784,0.541362751
1,0.728244529,0.798724744,0.245562966,0.167785629,0.204613608,0.399750245,0.901432608,0.492759848
1,0.845181205,0.762621769,0.116823557,0.252989819,0.196598147,0.476831433,0.826848468,0.457949676
1,0.732673895,0.788665755,0.137529607,0.199417619,0.099152731,0.543309645,0.904831988,0.591505037
1,0.860259981,0.862215266,0.060493028,0.240824017,0.203630751,0.551518095,0.859760589,0.455684279
1,0.695667211,0.969027267,0.179150982,0.254248373,0.139013968,0.385233968,0.91732913,0.491915062
1,0.818276246,0.878289462,0.093660199,0.243896451,0.208882702,0.555811854,0.975984581,0.56804145
1,0.72014629,0.917975209,0.279909822,0.146808645,0.211305618,0.39118578,0.853429111,0.490773589
1,0.862165813,0.798757015,0.143992946,0.058948318,0.085704289,0.382773411,0.940349946,0.46522929
1,0.713226202,0.851628581,0.231962465,0.246872282,0.096609683,0.503556051,0.960903067,0.451228401
1,0.80970558,0.764234062,0.113411691,0.187090752,0.193367023,0.467540825,0.93844722,0.451939861
1,0.778968832,0.792113955,0.100949889,0.085422923,0.223854327,0.591089968,0.920184642,0.46665076
1,0.794633156,0.765284277,0.252068367,0.135467373,0.106505182,0.446973019,0.840621461,0.577833029
1,0.703429591,0.825811861,0.173054975,0.203039637,0.247544354,0.59043974,0.900983084,0.553719359
1,0.838664802,0.907401894,0.198473293,0.170088009,0.083614761,0.463606035,0.776355345,0.46506051
1,0.697640208,0.880554871,0.288575553,0.254893895,0.228468434,0.476301846,0.790471355,0.526631732
1,0.830163535,0.916448253,0.182621846,0.203265003,0.244201937,0.516123557,0.921007368,0.563615988
1,0.866272056,0.934573713,0.27645275,0.050056008,0.228709104,0.384964144,0.887920252,0.571107322
1,0.709677059,0.929018147,0.24654804,0.253660522,0.081191509,0.531794364,0.883242962,0.494600727
1,0.861021403,0.942256018,0.112866463,0.245862063,0.175440822,0.412294091,0.875146443,0.568692869
1,0.752262428,0.90489696,0.202230445,0.225259787,0.208699753,0.467630161,0.831091842,0.508310999
1,0.787194145,0.852283909,0.188557403,0.2354727,0.087943661,0.463461001,0.975100317,0.498077525
1,0.790276656,0.838291894,0.242622614,0.230722415,0.243634689,0.402508104,0.784397633,0.510295453
1,0.731444776,0.976097948,0.120772711,0.073002555,0.1754469,0.491910273,0.793843706,0.588596739
1,0.774337584,0.901465535,0.267076645,0.188604195,0.213134152,0.449926462,0.867691758,0.498293545
1,0.844940572,0.880628362,0.055051641,0.0675679,0.15977967,0.459590447,0.948169348,0.462799976
1,0.870392064,0.922197556,0.213900005,0.210435875,0.175379665,0.485228128,0.952524669,0.55331565
1,0.849730421,0.878769081,0.064212562,0.114178766,0.159227056,0.505276569,0.865532951,0.49597842
1,0.79221564,0.87854723,0.279252838,0.190138161,0.207745111,0.411693049,0.955781954,0.45390868
1,0.853988574,0.977608288,0.067820751,0.196682035,0.233837713,0.585338274,0.976983803,0.534572999
1,0.732919834,0.823271526,0.203728526,0.069461337,0.181882301,0.531388665,0.812567176,0.558475559
1,0.801836447,0.890451749,0.259571621,0.21582378,0.091879641,0.567227403,0.955028426,0.579075449
1,0.797169787,0.919643064,0.043012663,0.087916151,0.093010904,0.398112981,0.845392965,0.478846106
1,0.767381513,0.959524032,0.131143841,0.214122035,0.095759574,0.460588148,0.949850035,0.46396635
1,0.853649987,0.923692062,0.174093657,0.142237469,0.18538312,0.412417403,0.915502298,0.504265732
2,0.292409855,0.165074084,0.382306922,0.272808208,0.431297377,0.191336505,0.381882457,0.292917818
2,0.294097546,0.33231716,0.330111024,0.265831169,0.311324063,0.207178119,0.169905001,0.430112166
2,0.044226159,0.002441715,0.083950906,0.115779097,0.154763328,0.115631644,0.116860883,0.085231504
2,0.350049222,0.470380298,0.486888503,0.325631482,0.420188784,0.303487609,0.420309388,0.423788187
2,0.309057032,0.403969337,0.207463138,0.172760428,0.257523902,0.236939359,0.364671969,0.256444769
2,0.435562203,0.41422134,0.444518659,0.314463144,0.372893291,0.400012557,0.312372249,0.390882406
2,0.061414153,0.044515481,0.065090214,0.063869944,0.073644532,0.018424375,0.183571583,0.078974596
2,0.955432112,0.961455112,0.831156842,0.992751553,0.97382693,0.87399229,0.982850264,0.898664086
2,0.946209457,0.959795261,0.872025669,0.819538666,0.936278258,0.974725388,0.98686248,0.840923481
2,0.709000037,0.74048893,0.692910616,0.56685874,0.659515456,0.63229257,0.695160269,0.736681846
2,0.385064781,0.255489765,0.386152284,0.479149441,0.328929454,0.443094698,0.284087103,0.380999479
2,0.989201743,0.870459251,0.885742152,0.842783522,0.924290554,0.876743259,0.860047976,0.872108595
2,0.339553268,0.415104869,0.280290805,0.442470168,0.273470937,0.279361693,0.296943925,0.294080196
2,0.501267613,0.437004799,0.588245854,0.511284169,0.50812738,0.578281358,0.498473768,0.538731166
2,0.527953076,0.446182777,0.644354176,0.425347034,0.60529947,0.392344068,0.389512772,0.480240142
2,0.224145342,0.350009346,0.077856206,0.147173843,0.183916093,0.296489923,0.093288009,0.360473959
2,0.41410364,0.482567088,0.524486331,0.376085924,0.287076474,0.46220586,0.306395784,0.401856258
2,0.012075105,0.018678692,0.110270007,0.026582999,0.053125819,0.033262432,0.133312634,0.116211975
2,0.861982909,0.853665592,0.805962583,0.738271415,0.881491934,0.773442835,0.714668345,0.995343867
2,0.392313077,0.409647659,0.419628184,0.458598158,0.504272669,0.468989884,0.451194265,0.458441697
2,0.52633304,0.484971934,0.449657598,0.470652173,0.501898833,0.52218882,0.668566268,0.587847334
2,0.449600845,0.552960351,0.329328998,0.311637133,0.34462223,0.550374252,0.581203268,0.595429422
2,0.87412403,0.755023296,0.993454639,0.732716554,0.743439053,0.920114098,0.784297824,0.953850938
2,0.383490146,0.42243175,0.310538077,0.49441059,0.366019289,0.343282591,0.440772503,0.322664144
2,0.118329853,0.189752905,0.229924306,0.265234866,0.193356284,0.005396389,0.116912357,0.144663912
2,0.888499025,0.85813911,0.871423546,0.774758716,0.863102587,0.925433271,0.767333846,0.835370283
2,0.724403022,0.82064203,0.622369107,0.655182754,0.818448358,0.670299474,0.71974447,0.725066747
2,0.330918986,0.237760105,0.382506723,0.28691558,0.380588614,0.217223571,0.193879879,0.246948024
2,0.107110638,0.095504305,0.088692225,0.024314534,0.069912987,0.12561352,0.254209322,0.227720969
2,0.195495508,0.341210367,0.278276059,0.313258124,0.158417562,0.19119624,0.300966757,0.186830134
2,0.323766464,0.327418877,0.230564737,0.277509396,0.187274891,0.325381767,0.388716212,0.220171088
2,0.336451623,0.36149913,0.347046026,0.397555864,0.350711669,0.455334868,0.338833244,0.337213915
2,0.81264019,0.944241884,0.723358667,0.798975615,0.754541887,0.878807282,0.77160054,0.853827493
2,0.361638503,0.433931311,0.333852049,0.486406438,0.419349691,0.26025035,0.220084689,0.280402623
2,0.757726787,0.879096889,0.764255696,0.701354351,0.781525539,0.829715821,0.662446284,0.710600648
2,0.184810798,0.327717947,0.096391609,0.238432668,0.260412135,0.060758261,0.14812359,0.186183304
2,0.125697107,0.199021391,0.082072294,0.220552927,0.104330186,0.246866818,0.002267107,0.248184704
2,0.154173584,0.140465305,0.060012939,0.051136032,0.204130945,0.162081101,0.214195749,0.142532376
2,0.217082733,0.308417188,0.325146061,0.134261975,0.107121787,0.324120515,0.084422468,0.103802961
2,0.069401384,0.048614283,0.102096617,0.126438517,0.065588307,0.055013564,0.125169035,0.151158817
2,0.276400772,0.355904384,0.26654346,0.349531201,0.149444894,0.290089255,0.134141014,0.366978773
2,0.855986245,0.855729092,0.911838145,0.750729123,0.929676026,0.753071424,0.825881322,0.82558233
2,0.602775407,0.7236049,0.476064818,0.637651267,0.472930863,0.533765791,0.454734033,0.517228622
2,0.808012244,0.79440746,0.922470966,0.867409381,0.815834994,0.892837778,0.796637798,0.726590014
2,0.235794001,0.380673336,0.359426106,0.290044006,0.25157055,0.201118429,0.215687646,0.209041693
2,0.275438101,0.238292063,0.159340394,0.284208851,0.368653448,0.230170627,0.358456421,0.162749355
2,0.985930341,0.88687056,0.900002497,0.844376645,0.876304103,0.989114102,0.990450943,0.889943341
2,0.217289397,0.204766457,0.228737754,0.10557044,0.078843223,0.244411352,0.273398752,0.157765639
2,0.417342412,0.441792725,0.330739637,0.480744468,0.410596281,0.308260014,0.426880438,0.481991524
2,0.118370787,0.035381546,0.175939476,0.133279314,0.249020321,0.224748851,0.194648942,0.25395293
2,0.706987381,0.789499791,0.623050756,0.599492686,0.836108747,0.623902857,0.660476125,0.768845461
2,0.262339316,0.297086462,0.201002783,0.117330388,0.28520783,0.323402589,0.252074486,0.219980438
2,0.290993261,0.156262875,0.415976726,0.394432454,0.41092743,0.33134606,0.311920899,0.146915391
2,0.392621391,0.350015585,0.456265549,0.301891133,0.323495254,0.396746685,0.277770582,0.502525281
2,0.117713316,0.146063036,0.035764953,0.088611941,0.035693546,0.186755642,0.11278307,0.171996651
2,0.710984883,0.855621091,0.644100658,0.710847748,0.673294985,0.712090184,0.651822048,0.69991623
2,0.24491438,0.116936349,0.341395324,0.248555763,0.139654669,0.274004516,0.311960962,0.170103331
2,0.918187984,0.801236575,0.963720825,0.907522992,0.947844197,0.999797032,0.885897465,0.886331899
2,0.332691948,0.224296934,0.243910591,0.472038699,0.37269747,0.30435461,0.308984632,0.456385915
2,0.200011932,0.266870051,0.080591227,0.334335254,0.069135109,0.227603672,0.202523129,0.11119942
2,0.101648172,0.079395474,0.12603461,0.171525629,0.220355935,0.230653427,0.218801306,0.065969696
2,0.852632318,0.856466721,0.983749061,0.989394957,0.728026952,0.919368434,0.859483073,0.838715509
2,0.819342749,0.751780076,0.834299922,0.747356273,0.739801613,0.776679754,0.767560728,0.964300084
2,0.40569172,0.333144442,0.49358641,0.283186124,0.389985736,0.345748036,0.48248277,0.381797145
2,0.960449649,0.956164858,0.941578585,0.89227169,0.879656974,0.872669373,0.864178639,0.966851767
2,0.597518684,0.4622615,0.655102658,0.616153291,0.486757066,0.667453639,0.654898017,0.567256394
2,0.890732789,0.851117282,0.920271105,0.88349681,0.845532143,0.946188506,0.765793098,0.928319651
2,0.955154578,0.928650302,0.952899208,0.843509402,0.958287324,0.880864466,0.869950204,0.976854706
2,0.457268447,0.435349806,0.562120049,0.509744501,0.462044217,0.546134414,0.331861095,0.553696177
2,0.907115123,0.830670669,0.924825965,0.911051519,0.848385856,0.860474942,0.795942829,0.946881655
2,0.028182972,0.050671696,0.004548802,0.065148328,0.034722136,0.102532618,0.025632088,0.077541226
2,0.57306562,0.626451124,0.618988837,0.720143438,0.553786118,0.437350884,0.706778139,0.675391571
2,0.093664639,0.226473124,0.015832937,0.124198727,0.139635898,0.191068808,0.21586889,0.117437153
2,0.176821078,0.248032157,0.316911702,0.202862142,0.144103218,0.186299508,0.106216277,0.280709066
2,0.018405393,0.142322757,0.134317081,0.03597434,0.079088675,0.08883631,0.000585837,0.107028058
2,0.44633434,0.565007269,0.354502007,0.48497107,0.460476523,0.297417744,0.406271159,0.586060646
2,0.715379133,0.778002889,0.782991455,0.785224057,0.851401088,0.844912203,0.575023679,0.702920693
2,0.794636454,0.776422703,0.925455121,0.835727157,0.83158553,0.690670635,0.902342365,0.77814076
2,0.541488067,0.399058478,0.631142391,0.650197112,0.674030828,0.491865234,0.588335833,0.582140771
2,0.805905198,0.952298801,0.769362427,0.798915905,0.71959073,0.907772577,0.662139679,0.702666814
2,0.147400317,0.285520579,0.08515769,0.02319064,0.123194719,0.1793251,0.245040366,0.14261412
2,0.165918769,0.080056651,0.196128434,0.198223513,0.095642267,0.207140878,0.191681968,0.212676679
2,0.107564469,0.211363973,0.120075497,0.118290755,0.123683787,0.173017181,0.173785699,0.224982448
2,0.679500088,0.696299422,0.794854783,0.576777967,0.700036056,0.600248159,0.628652356,0.813361814
2,0.131120149,0.052941667,0.078487582,0.075819682,0.0315218,0.105593022,0.03801106,0.008047296
2,0.929943537,0.932803938,0.963569408,0.826446793,0.836652864,0.803418804,0.893441905,0.935185217
2,0.024364855,0.019234965,0.074388652,0.098476069,0.028374641,0.080843886,0.038023984,0.048150206
2,0.090617466,0.073570363,0.240590022,0.147554964,0.195163664,0.046735669,0.044439789,0.052607716
2,0.014581588,0.149192969,0.020575808,0.008448084,0.043582127,0.002909836,0.142774396,0.044937264
2,0.144697636,0.034429513,0.068321299,0.197376727,0.106274235,0.057199729,0.032250843,0.119018872
2,0.299361732,0.228906629,0.22179406,0.371884235,0.172822279,0.21526493,0.265939117,0.347518064
2,0.771134026,0.752461042,0.918368823,0.671923084,0.653745188,0.738161144,0.880646743,0.65497017
2,0.267991962,0.168950427,0.376081204,0.403385153,0.152449347,0.179284407,0.356126341,0.331471455
2,0.731560203,0.807381434,0.653699556,0.739494882,0.84776292,0.586785084,0.664237962,0.864389213
2,0.396360853,0.276211564,0.384060149,0.37272429,0.508262358,0.485830429,0.432538598,0.498969401
2,0.822713805,0.837562235,0.8573021,0.747138724,0.812670337,0.865682178,0.81711304,0.713123927
2,0.469753278,0.355343346,0.387741151,0.544321618,0.321723212,0.522649343,0.432631791,0.470948979
2,0.354529349,0.451895667,0.251061493,0.397964527,0.323402338,0.489649882,0.283576105,0.332035654
2,0.495802917,0.37273559,0.424247527,0.479597148,0.542945972,0.461974325,0.352035392,0.520887871
2,0.842288408,0.914113808,0.850929584,0.967894922,0.925139295,0.786071628,0.703766415,0.774248687
2,0.499457622,0.609156679,0.391556779,0.415810918,0.502412707,0.58101424,0.458686826,0.62804691
2,0.232991641,0.300770541,0.312269012,0.301682355,0.100350706,0.357125235,0.176004261,0.328587407
2,0.985179947,0.956974408,0.875316506,0.899528172,0.972019601,0.915942623,0.887116887,0.864039955
2,0.484831929,0.536555898,0.42560025,0.61995936,0.386716006,0.381290267,0.351691034,0.591682298
2,0.586776012,0.710971523,0.682865329,0.726909246,0.568842992,0.570991285,0.655231111,0.62551363
2,0.472204016,0.681385454,0.785645023,0.281080142,0.391976466,0.576953493,0.634701411,0.609438739
2,0.370297954,0.312808224,0.396763494,0.875845055,0.849334998,0.38617639,0.969191583,0.846051962
2,0.596106734,0.46083727,0.436283411,0.758036953,0.177617729,0.627136029,0.459908839,0.872275953
2,0.576846269,0.636433951,0.690634669,0.574238599,0.000725048,0.333504531,0.430081753,0.971589299
2,0.325154039,0.902965701,0.057606307,0.925511005,0.301480256,0.360192179,0.631894194,0.411564419
2,0.882846971,0.214594452,0.6322208,0.364569401,0.23160002,0.047382762,0.201093556,0.361829685
2,0.040845441,0.806306433,0.737637218,0.195093305,0.489067189,0.370946177,0.253616141,0.264895146
2,0.547567531,0.865838536,0.040417714,0.934564021,0.545423678,0.778851109,0.883129082,0.158747203
2,0.720756346,0.202346878,0.165363864,0.879965898,0.093230708,0.986467128,0.981269367,0.47924584
2,0.525280002,0.805760169,0.027381576,0.359019348,0.39512184,0.087451239,0.676673993,0.961394584
2,0.226446198,0.230166669,0.054672606,0.696407619,0.532888558,0.884900552,0.123438651,0.548553758
2,0.547385707,0.747352451,0.322379992,0.003008476,0.553225264,0.274287557,0.482819878,0.362730787
2,0.440745275,0.085148481,0.006039666,0.225209496,0.31103247,0.707773657,0.814758797,0.774227815
2,0.649234496,0.926599568,0.640398611,0.707414506,0.647318328,0.815822095,0.229070224,0.364432182
2,0.255072254,0.694153986,0.704023632,0.068589697,0.567865039,0.123751357,0.737718844,0.747030541
2,0.647525522,0.622661891,0.394377872,0.072378863,0.949251833,0.898461584,0.521267243,0.876615585
2,0.946052502,0.49302285,0.947363555,0.370129326,0.486499884,0.75673412,0.103254992,0.892322451
2,0.313812456,0.361929883,0.087625397,0.327558172,0.538314199,0.382288067,0.007959117,0.19523541
2,0.551922649,0.972848209,0.807399956,0.630472492,0.334841398,0.770327234,0.363799191,0.559668909
2,0.255471298,0.920719999,0.380534982,0.594599852,0.591632417,0.168956416,0.744134308,0.774743477
2,0.895078017,0.344325481,0.877594991,0.41532121,0.352917888,0.750565879,0.558569083,0.558043927
2,0.544929689,0.992451785,0.01834815,0.694358622,0.206645907,0.03995306,0.564096055,0.460665814
2,0.032952777,0.155756873,0.691380456,0.37306175,0.054011212,0.351271158,0.563663336,0.695467869
2,0.739690401,0.182336942,0.095659321,0.558490004,0.753803651,0.70799577,0.145899929,0.70839681
2,0.829953226,0.958905766,0.811139576,0.342722586,0.547379742,0.869310977,0.363738902,0.540096764
2,0.980685255,0.476513032,0.397728908,0.031188501,0.698795654,0.55956426,0.436951318,0.132369608
2,0.682282791,0.795231017,0.302211542,0.196099366,0.777869549,0.39771194,0.098527877,0.891473603
2,0.940997488,0.820089194,0.621229976,0.69605708,0.173094631,0.825525677,0.100366223,0.449955192
2,0.164747745,0.706929794,0.253594144,0.17929731,0.506474367,0.696998372,0.190108897,0.172406516
